r,n_r,j,k,in_window_d0.5,in_window_d1,w,abs_D,arg_D,abs_H,arg_H,arg_DH,abs_term,term_re,term_im
30,9,9,0,1,1,1.3495968754133141e-06,0.11471079270810389,1.2100739024330371,0.9999999999999997,2.0157763563405,-3.057335048406049,1.5481332741504132e-07,-1.542641159145507e-07,-1.3028771485403513e-08
31,10,0,10,1,1,0.2998686946055367,0.9999999999999998,0.31512889272119843,0.9638605787310797,0.27919498975506674,0.5943238824762652,0.28903161352582596,0.23947057639030384,0.16184287645935522
31,10,1,9,1,1,0.33318743845059634,0.9975954207533365,0.39509996627583965,0.9372737145948012,0.4377535170691165,0.8328534833449561,0.3115369072624993,0.2095918565698113,0.23049186156197074
31,10,2,8,1,1,0.2141919247182405,0.9874829901604438,0.5240744448890677,0.8921486907108449,0.702331269148591,1.2264057140376587,0.188699156705217,0.06370920087996607,0.17761900085434604
31,10,3,7,1,1,0.1007961998674073,0.95064455661289,0.7335227583594347,0.8193678415042971,1.1510977895306787,1.8846205478901135,0.07851293987360511,-0.024236813501380808,0.07467836767696262
31,10,4,6,1,1,0.037416771162901194,0.8351820771048222,1.055428692598929,0.7118465436541456,1.9256508817180098,2.9810795743169387,0.022245073978098977,-0.02195912268517388,0.003555312530366072
31,10,5,5,1,1,0.011225031348870358,0.5968029957733548,1.4333937165162012,0.5740856831940964,-2.9963524046243957,-1.5629586881081945,0.003845875964296623,3.0142277640263922e-05,-0.0038457578415512774
31,10,6,4,1,1,0.002715733390855732,0.33934220705238705,1.6510090771824324,0.420627305320255,-0.5557927086536317,1.0952163685288008,0.00038763454564931646,0.00017748007490465611,0.0003446177070212581
31,10,7,3,1,1,0.000517282550639187,0.25353658096545717,1.2394882947620762,0.467743746364543,-2.0634938621909473,-0.824005567428871,6.134461538712749e-05,4.167060516503448e-05,-4.501913484480129e-05
31,10,8,2,1,1,7.357898349609125e-05,0.14317193728333336,0.8115571960160283,0.523405961346027,1.4877038126382487,2.299261008654277,5.513791631997472e-06,-3.670667664398142e-06,4.114376873674462e-06
31,10,9,1,1,1,7.007522237722977e-06,0.11471079270810389,1.2100739024330371,0.6908268366033149,2.2149088315924748,-2.8582025731540748,5.553131602958634e-07,-5.331634118693258e-07,-1.5527228420307005e-07
31,10,10,0,1,1,3.3739921885332853e-07,0.0652347515853448,1.3973227125202639,1.0,-2.2509335564484725,-0.8536108439282089,2.2010154226986267e-08,1.4466528075124502e-08,-1.6588141985989756e-08
32,10,0,10,1,1,0.31070405845758864,0.9999999999999998,0.31512889272119843,0.9683013088346305,0.26297028607141204,0.5780991787926104,0.30085514646471456,0.25196703769413714,0.1643971747626648
32,10,1,9,1,1,0.33589627941360933,0.9975954207533365,0.39509996627583965,0.9437379367548898,0.41793446763781616,0.8130344339136558,0.3162358147370534,0.2173480723511654,0.22970612958221318
32,10,2,8,1,1,0.20993517463350583,0.9874829901604438,0.5240744448890677,0.9011831437035855,0.6785043286192886,1.2025787735083562,0.18682194704981964,0.06724712676764184,0.174299351235116
32,10,3,7,1,1,0.09597036554674553,0.95064455661289,0.7335227583594347,0.8312078152708235,1.1231550353491964,1.856677793708631,0.0758341691134665,-0.021385482299192706,0.07275632173193441
32,10,4,6,1,1,0.03457755817493037,0.8351820771048222,1.055428692598929,0.7259822035295742,1.8940440973193553,2.949472789918284,0.020965318342344292,-0.020579591577252,0.0040031217455051785
32,10,5,5,1,1,0.0100589260145252,0.5968029957733548,1.4333937165162012,0.5891152396020237,-3.0300676071251536,-1.5966738906089522,0.0035365749449155224,-9.150773002284357e-05,-0.0035353908802776388
32,10,6,4,1,1,0.0023575607846543435,0.33934220705238705,1.6510090771824324,0.43546239372698886,-0.5891245251836766,1.0618845519987559,0.0003483785719412152,0.00016973952152677703,0.00030423038017210116
32,10,7,3,1,1,0.00043457341652614626,0.25353658096545717,1.2394882947620762,0.4820436951131533,-2.09054584166043,-0.8510575468983539,5.311169879342652e-05,3.5010608457029395e-05,-3.993882627459457e-05
32,10,8,2,1,1,5.975384477234511e-05,0.14317193728333336,0.8115571960160283,0.5365235477456689,1.4649369825004521,2.2764941785164807,4.589998501432888e-06,-2.9769131291422472e-06,3.4937192881936955e-06
