r,n_r,m,N_paths_log10,G_re,G_im,abs_G,r_abs_G,abs_Gmix_minus_G,tri_full,r_tri_full,abs_D_at_0,max_absH_all_j,argmax_absH_all_j,argmax_absterm_all_j,L_d0.5,jmax_d0.5,S_d0.5,r_S_d0.5,max_absH_window_d0.5,min_absH_window_d0.5,trunc_bound_d0.5,abs_signed_trunc_d0.5,abs_signed_trunc_minus_G_d0.5,weight_in_window_d0.5,ratio_S_over_absG_d0.5,ratio_full_over_S_d0.5,L_d1,jmax_d1,S_d1,r_S_d1,max_absH_window_d1,min_absH_window_d1,trunc_bound_d1,abs_signed_trunc_d1,abs_signed_trunc_minus_G_d1,weight_in_window_d1,ratio_S_over_absG_d1,ratio_full_over_S_d1,seconds
34,11,30,9.884757942346477,0.4577460280164359,0.6370829981487115,0.7844782805756797,26.67226153957311,1.2412670766236366e-16,0.882945790287707,30.02015686978204,0.9999999999999998,1.0,11,1,22,11,0.882945790287707,30.02015686978204,1.0,0.3718748029485482,0.020176304134412803,0.7844782805756798,1.2412670766236366e-16,0.9999999999999999,1.1255197398706414,1.0,29,11,0.882945790287707,30.02015686978204,1.0,0.3718748029485482,0.0034602076124567475,0.7844782805756798,1.2412670766236366e-16,0.9999999999999999,1.1255197398706414,1.0,0.0007715999963693321
35,12,31,10.590068124713516,0.39618545504522573,0.6289292722245314,0.7433134898885337,26.01597214609868,2.0014830212433605e-16,0.847515257719721,29.663034020190235,0.9999999999999998,1.0,12,1,22,12,0.847515257719721,29.663034020190235,1.0,0.30024874604030116,0.019317811536651807,0.7433134898885339,2.0014830212433605e-16,1.0,1.1401854927277228,1.0,29,12,0.847515257719721,29.663034020190235,1.0,0.30024874604030116,0.0032653061224489797,0.7433134898885339,2.0014830212433605e-16,1.0,1.1401854927277228,1.0,0.0008521999989170581
36,13,32,11.285395823367702,0.3365653248638735,0.6145348378509772,0.7006634604667575,25.223884576803272,2.482534153247273e-16,0.8081379935848865,29.092967769055914,0.9999999999999998,1.0,13,1,22,13,0.8081379935848865,29.092967769055914,1.0,0.18789562567864426,0.018518518518518517,0.7006634604667578,2.482534153247273e-16,1.0000000000000002,1.1533896644853339,1.0,29,13,0.8081379935848865,29.092967769055914,1.0,0.18789562567864426,0.0030864197530864196,0.7006634604667578,2.482534153247273e-16,1.0000000000000002,1.1533896644853339,1.0,0.0008775999885983765
37,13,33,11.419289402628936,0.3666129978718644,0.6188321024908742,0.7192762065311707,26.613219641653316,1.5700924586837752e-16,0.8245414303003834,30.508032921114186,0.9999999999999998,1.0000000000000002,13,1,22,13,0.8245414303003834,30.508032921114186,1.0000000000000002,0.20001093119862454,0.017772863492471057,0.719276206531171,1.5700924586837752e-16,0.9999999999999999,1.1463488195680374,1.0,29,13,0.8245414303003834,30.508032921114186,1.0000000000000002,0.20001093119862454,0.0029218407596785976,0.719276206531171,1.5700924586837752e-16,0.9999999999999999,1.1463488195680374,1.0,0.0008598000276833773
38,14,34,12.111499823317635,0.31101235294823715,0.6021679728016952,0.6777425404639301,25.754216537629343,2.482534153247273e-16,0.7848855450378918,29.825650711439888,0.9999999999999998,1.0000000000000002,14,1,22,14,0.7848855450378918,29.825650711439888,1.0000000000000002,0.13451837429529898,0.017075939066396057,0.6777425404639301,2.482534153247273e-16,0.9999999999999999,1.158088061730078,1.0,30,14,0.7848855450378918,29.825650711439888,1.0000000000000002,0.13451837429529898,0.002770083102493075,0.6777425404639301,2.482534153247273e-16,0.9999999999999999,1.158088061730078,1.0,0.0009512999968137592
39,14,35,12.247719570335649,0.34035353684603437,0.6079912438291202,0.6967739106887438,27.17418251686101,5.551115123125783e-17,0.8022944119511225,31.28948206609378,0.9999999999999998,1.0000000000000002,14,1,23,14,0.8022944119511225,31.28948206609378,1.0000000000000002,0.14385780104753998,0.016423400390265346,0.6967739106887438,5.551115123125783e-17,1.0,1.1514415216236702,1.0,30,14,0.8022944119511225,31.28948206609378,1.0000000000000002,0.14385780104753998,0.0026298487836949377,0.6967739106887438,5.551115123125783e-17,1.0,1.1514415216236702,1.0,0.000985399994533509
40,15,36,12.937233333677202,0.2885189814091297,0.5896640981918171,0.6564654989637541,26.258619958550163,1.2412670766236366e-16,0.7627602049872916,30.510408199491664,0.9999999999999998,1.0,15,1,23,15,0.7627602049872916,30.510408199491664,1.0,0.10154769437879536,0.015811388300841896,0.6564654989637543,1.2412670766236366e-16,1.0,1.1619197142748952,1.0,30,15,0.7627602049872916,30.510408199491664,1.0,0.10154769437879536,0.0025,0.6564654989637543,1.2412670766236366e-16,1.0,1.1619197142748952,1.0,0.001043800002662465
41,15,37,13.07553603184351,0.31702525139693305,0.5967803013907104,0.6757601187931082,27.706164870517433,1.5700924586837752e-16,0.7809512203228066,32.01900003323507,0.9999999999999998,1.0,15,1,23,15,0.7809512203228066,32.01900003323507,1.0,0.10893076328730991,0.015236464574498152,0.6757601187931084,1.5700924586837752e-16,1.0,1.155663376106846,1.0,30,15,0.7809512203228066,32.01900003323507,1.0,0.10893076328730991,0.002379535990481856,0.6757601187931084,1.5700924586837752e-16,1.0,1.155663376106846,1.0,0.0009797000093385577
42,16,38,13.762695075146548,0.26868026650187243,0.5772659064345527,0.6367299367386638,26.742657343023883,2.220446049250313e-16,0.7418268249999957,31.156726649999822,0.9999999999999998,0.9999999999999997,16,1,23,16,0.7418268249999957,31.156726649999822,0.9999999999999997,0.07951843596817018,0.014695557139246848,0.6367299367386641,2.220446049250313e-16,1.0,1.1650572435774562,1.0,30,16,0.7418268249999957,31.156726649999822,0.9999999999999997,0.07951843596817018,0.0022675736961451248,0.6367299367386641,2.220446049250313e-16,1.0,1.1650572435774562,1.0,0.0010882000206038356
43,17,39,14.443276868575435,0.2232118541792619,0.5543441740893724,0.5975960133677035,25.69662857481125,1.1443916996305594e-16,0.701199415838509,30.151574881055886,0.9999999999999998,0.9999999999999996,17,1,23,17,0.701199415838509,30.151574881055886,0.9999999999999996,0.059105867828513535,0.014185913519312062,0.5975960133677036,1.1443916996305594e-16,1.0,1.1733669571973162,1.0,31,17,0.701199415838509,30.151574881055886,0.9999999999999996,0.059105867828513535,0.002163331530557058,0.5975960133677036,1.1443916996305594e-16,1.0,1.1733669571973162,1.0,0.0011498000239953399
